word,anger,disgust,fear,sadness,suspicious,surprise,good,happy
不错,0,0,0,0,0,0,1,0
排第一,0,0,0,0,0,0,1,0
祝,0,0,0,0,0,0,0,1
仁义,0,0,0,0,0,0,1,1
狗命,1,1,0,0,0,0,0,0
有责任感,0,0,0,0,0,0,1,0
能信吗？,0,0,0,0,1,0,0,0
高人,0,0,0,0,0,0,1,0
担当,0,0,0,0,0,0,1,0
长点脑子,1,0,0,0,0,0,0,0
好棒,0,0,0,0,0,0,1,1
好样的,0,0,0,0,0,0,1,1
真棒,0,0,0,0,0,0,1,1
很棒,0,0,0,0,0,0,1,1
加油,0,0,0,0,0,0,1,1
漂亮,0,0,0,0,0,0,1,0
好样的,0,0,0,0,0,0,1,1
安心,0,0,0,0,0,0,1,0
善事,0,0,0,0,0,0,1,1
点赞,0,0,0,0,0,0,1,1
春天,0,0,0,0,0,0,1,1
希望,0,0,0,0,0,0,1,1
致敬,0,0,0,0,0,0,1,0
辛苦,0,0,0,0,0,0,1,0
伟大,0,0,0,0,0,0,1,0
支持,0,0,0,0,0,0,1,0
骗子,1,0,0,0,1,0,0,0
吸血鬼,1,0,0,0,0,0,0,0
阳光,0,0,0,0,0,0,1,0
良心,0,0,0,0,0,0,1,0
感动,0,0,0,0,0,0,1,1
牛逼,0,0,0,0,0,0,1,1
棒,0,0,0,0,0,0,1,1
谢谢,0,0,0,0,0,0,0,1
悲哀,0,0,0,1,0,0,0,0
派上用场,0,0,0,0,0,0,1,1
厉害,0,0,0,0,0,0,1,0
称赞,0,0,0,0,0,0,1,0
怎么办,0,0,1,1,0,0,0,0
挺住,0,0,0,0,0,0,1,0
添堵,1,0,0,0,0,0,0,0
愚蠢,1,1,0,0,0,0,0,0
感谢,0,0,0,0,0,0,1,1
还好,0,0,0,0,0,0,1,1
相信,0,0,0,0,0,0,1,0
奥里给,0,0,0,0,0,0,1,1
踏实,0,0,0,0,0,0,1,0
下台,1,0,0,0,0,0,0,0
勇士,0,0,0,0,0,0,1,0
国士无双,0,0,0,0,0,0,1,0
垃圾,1,1,0,0,0,0,0,0
理解,0,0,0,0,0,0,1,0
怕,0,0,1,0,0,0,0,0
高效,0,0,0,0,0,0,1,0
搞笑,0,1,0,0,0,0,0,0
好事,0,0,0,0,0,0,1,0
唉,0,0,0,1,0,0,0,0
哈哈,0,0,0,0,0,0,0,1
滚,1,0,0,0,0,0,0,0
屁,1,0,0,0,0,0,0,0
呵呵,0,1,0,0,0,0,0,0
神经病,1,1,0,0,0,0,0,0
精神病,1,1,0,0,0,0,0,0
严惩,1,0,0,0,0,0,0,0